observation_date,EXINUS
01-03-2007,43.7936
01-04-2007,42.0176
01-05-2007,40.5686
01-06-2007,40.5905
01-07-2007,40.2738
01-08-2007,40.6791
01-09-2007,40.1735
01-10-2007,39.3661
01-11-2007,39.3267
01-12-2007,39.375
01-01-2008,39.2676
01-02-2008,39.6735
01-03-2008,40.1452
01-04-2008,39.9668
01-05-2008,42.0019
01-06-2008,42.7633
01-07-2008,42.7027
01-08-2008,42.9057
01-09-2008,45.53
01-10-2008,48.6155
01-11-2008,48.8517
01-12-2008,48.5132
01-01-2009,48.6995
01-02-2009,49.2484
01-03-2009,51.1291
01-04-2009,49.9655
01-05-2009,48.51
01-06-2009,47.6736
01-07-2009,48.3624
01-08-2009,48.2426
01-09-2009,48.2924
01-10-2009,46.6524
01-11-2009,46.5305
01-12-2009,46.5273
01-01-2010,45.8944
01-02-2010,46.2732
01-03-2010,45.4509
01-04-2010,44.444
01-05-2010,45.769
01-06-2010,46.4983
01-07-2010,46.7617
01-08-2010,46.4605
01-09-2010,45.8729
01-10-2010,44.354
01-11-2010,44.9315
01-12-2010,45.1
01-01-2011,45.375
01-02-2011,45.3795
01-03-2011,44.9143
01-04-2011,44.301
01-05-2011,44.9024
01-06-2011,44.8109
01-07-2011,44.396
01-08-2011,45.3135
01-09-2011,47.6905
01-10-2011,49.202
01-11-2011,50.6785
01-12-2011,52.3824
01-01-2012,51.0015
01-02-2012,49.1812
01-03-2012,50.3635
01-04-2012,51.69
01-05-2012,54.3314
01-06-2012,55.9424
01-07-2012,55.4248
01-08-2012,55.4935
01-09-2012,54.35
01-10-2012,53.0995
01-11-2012,54.7845
01-12-2012,54.647
01-01-2013,54.229
01-02-2013,53.8079
01-03-2013,54.4229
01-04-2013,54.3236
01-05-2013,54.9845
01-06-2013,58.3835
01-07-2013,59.7609
01-08-2013,62.8109
01-09-2013,63.648
01-10-2013,61.6059
01-11-2013,62.5179
01-12-2013,61.811
01-01-2014,62.1057
01-02-2014,62.1642
01-03-2014,60.9476
01-04-2014,60.3464
01-05-2014,59.2843
01-06-2014,59.7367
01-07-2014,60.0956
01-08-2014,60.8738
01-09-2014,60.8976
01-10-2014,61.3668
01-11-2014,61.6828
01-12-2014,62.7071
01-01-2015,62.13
01-02-2015,61.9905
01-03-2015,62.4805
01-04-2015,62.6414
01-05-2015,63.715
01-06-2015,63.7809
01-07-2015,63.6045
01-08-2015,65.0971
01-09-2015,66.1667
01-10-2015,65.0262
01-11-2015,66.1
01-12-2015,66.5023
01-01-2016,67.3332
01-02-2016,68.2395
01-03-2016,66.8909
01-04-2016,66.4219
01-05-2016,66.8895
01-06-2016,67.2655
01-07-2016,67.158
01-08-2016,66.9035
01-09-2016,66.7138
01-10-2016,66.7415
01-11-2016,67.6395
01-12-2016,67.8052
01-01-2017,68.0474
01-02-2017,66.9726
01-03-2017,65.8009
01-04-2017,64.536
01-05-2017,64.4195
01-06-2017,64.4482
01-07-2017,64.424
01-08-2017,63.9683
01-09-2017,64.4775
01-10-2017,65.0357
01-11-2017,64.8435
01-12-2017,64.2445
01-01-2018,63.6452
01-02-2018,64.43
01-03-2018,65.0455
01-04-2018,65.6729
01-05-2018,67.51
01-06-2018,67.79
01-07-2018,68.6867
01-08-2018,69.6317
01-09-2018,72.2779
01-10-2018,73.5609
01-11-2018,71.738
01-12-2018,70.8331
01-01-2019,70.71
01-02-2019,71.1739
01-03-2019,69.4895
01-04-2019,69.4068
01-05-2019,69.7827
01-06-2019,69.388
01-07-2019,68.7391
01-08-2019,71.1891
01-09-2019,71.311
01-10-2019,71.0086
01-11-2019,71.4942
01-12-2019,71.1567
01-01-2020,71.279
01-02-2020,71.5295
01-03-2020,74.5482
01-04-2020,76.1682
01-05-2020,75.6575
01-06-2020,75.7077
01-07-2020,74.9286
01-08-2020,74.5657
01-09-2020,73.5233
01-10-2020,73.5648
01-11-2020,74.2311
01-12-2020,73.6195
01-01-2021,73.1106
01-02-2021,72.8053
01-03-2021,72.8196
01-04-2021,74.5186
01-05-2021,73.2065
01-06-2021,73.5782
01-07-2021,74.539
01-08-2021,74.1155
01-09-2021,73.6357
01-10-2021,74.92
01-11-2021,74.477
01-12-2021,75.3948
01-01-2022,74.4075
01-02-2022,74.9695
01-03-2022,76.1896
01-04-2022,76.1719
01-05-2022,77.2933
01-06-2022,78.09
01-07-2022,79.5915
01-08-2022,79.5065
01-09-2022,80.2538
01-10-2022,82.2915
01-11-2022,81.6805
01-12-2022,82.4738
01-01-2023,81.741
01-02-2023,82.5995
01-03-2023,82.2665
01-04-2023,81.9685
01-05-2023,82.2977
01-06-2023,82.2252
01-07-2023,82.1565
01-08-2023,82.8122
01-09-2023,83.07
01-10-2023,83.2162
01-11-2023,83.266
01-12-2023,83.254
01-01-2024,83.1119
01-02-2024,82.9485
01-03-2024,83.0214
01-04-2024,83.3968
01-05-2024,83.3873
01-06-2024,83.46
01-07-2024,83.5895
01-08-2024,83.8855
01-09-2024,83.791
01-10-2024,84.005
01-11-2024,84.3326
01-12-2024,84.9686
01-01-2025,86.2652
01-02-2025,87.0637
01-03-2025,86.5214
01-04-2025,85.5768
01-05-2025,85.2462
01-06-2025,85.8765
01-07-2025,86.1714
01-08-2025,87.5695
01-09-2025,88.3214
01-10-2025,88.3691
01-11-2025,88.8444
01-12-2025,90.035
